 current generation is : 17338 and best solution fitness is : 7228.05402214221
 current generation is : 17339 and best solution fitness is : 7228.05402214221
 current generation is : 17340 and best solution fitness is : 7228.05402214221
 current generation is : 17341 and best solution fitness is : 7228.05402214221
 current generation is : 17342 and best solution fitness is : 7228.05402214221
 current generation is : 17343 and best solution fitness is : 7228.05402214221
 current generation is : 17344 and best solution fitness is : 7228.05402214221
 current generation is : 17345 and best solution fitness is : 7228.05402214221
 current generation is : 17346 and best solution fitness is : 7228.05402214221
 current generation is : 17347 and best solution fitness is : 7228.05402214221
 current generation is : 17348 and best solution fitness is : 7228.05402214221
 current generation is : 17349 and best solution fitness is : 7228.05402214221
 current generation is : 17350 and best solution fitness is : 7228.05402214221
 current generation is : 17351 and best solution fitness is : 7228.05402214221
 current generation is : 17352 and best solution fitness is : 7228.05402214221
 current generation is : 17353 and best solution fitness is : 7228.05402214221
 current generation is : 17354 and best solution fitness is : 7228.05402214221
 current generation is : 17355 and best solution fitness is : 7228.05402214221
 current generation is : 17356 and best solution fitness is : 7228.05402214221
 current generation is : 17357 and best solution fitness is : 7228.05402214221
 current generation is : 17358 and best solution fitness is : 7228.05402214221
 current generation is : 17359 and best solution fitness is : 7228.05402214221
 current generation is : 17360 and best solution fitness is : 7228.05402214221
 current generation is : 17361 and best solution fitness is : 7228.05402214221
 current generation is : 17362 and best solution fitness is : 7228.05402214221
 current generation is : 17363 and best solution fitness is : 7228.05402214221
 current generation is : 17364 and best solution fitness is : 7228.05402214221
 current generation is : 17365 and best solution fitness is : 7228.05402214221
 current generation is : 17366 and best solution fitness is : 7228.05402214221
 current generation is : 17367 and best solution fitness is : 7228.05402214221
 current generation is : 17368 and best solution fitness is : 7228.05402214221
 current generation is : 17369 and best solution fitness is : 7228.05402214221
 current generation is : 17370 and best solution fitness is : 7228.05402214221
 current generation is : 17371 and best solution fitness is : 7228.05402214221
 current generation is : 17372 and best solution fitness is : 7228.05402214221
 current generation is : 17373 and best solution fitness is : 7228.05402214221
 current generation is : 17374 and best solution fitness is : 7228.05402214221
 current generation is : 17375 and best solution fitness is : 7228.05402214221
 current generation is : 17376 and best solution fitness is : 7228.05402214221
 current generation is : 17377 and best solution fitness is : 7228.05402214221
 current generation is : 17378 and best solution fitness is : 7228.05402214221
 current generation is : 17379 and best solution fitness is : 7228.05402214221
 current generation is : 17380 and best solution fitness is : 7228.05402214221
 current generation is : 17381 and best solution fitness is : 7228.05402214221
 current generation is : 17382 and best solution fitness is : 7228.05402214221
 current generation is : 17383 and best solution fitness is : 7228.05402214221
 current generation is : 17384 and best solution fitness is : 7228.05402214221
 current generation is : 17385 and best solution fitness is : 7228.05402214221
 current generation is : 17386 and best solution fitness is : 7228.05402214221
 current generation is : 17387 and best solution fitness is : 7228.05402214221
 current generation is : 17388 and best solution fitness is : 7228.05402214221
 current generation is : 17389 and best solution fitness is : 7228.05402214221
 current generation is : 17390 and best solution fitness is : 7228.05402214221
 current generation is : 17391 and best solution fitness is : 7228.05402214221
 current generation is : 17392 and best solution fitness is : 7223.714710068249
 current generation is : 17393 and best solution fitness is : 7223.714710068249
 current generation is : 17394 and best solution fitness is : 7223.714710068249
 current generation is : 17395 and best solution fitness is : 7200.581968018995
 current generation is : 17396 and best solution fitness is : 7200.581968018995
 current generation is : 17397 and best solution fitness is : 7200.581968018995
 current generation is : 17398 and best solution fitness is : 7200.581968018995
 current generation is : 17399 and best solution fitness is : 7200.581968018995
 current generation is : 17400 and best solution fitness is : 7200.581968018995
 current generation is : 17401 and best solution fitness is : 7200.581968018995
 current generation is : 17402 and best solution fitness is : 7200.581968018995
 current generation is : 17403 and best solution fitness is : 7200.581968018995
 current generation is : 17404 and best solution fitness is : 7200.581968018995
 current generation is : 17405 and best solution fitness is : 7200.581968018995
 current generation is : 17406 and best solution fitness is : 7200.581968018995
 current generation is : 17407 and best solution fitness is : 7200.581968018995
 current generation is : 17408 and best solution fitness is : 7200.581968018995
 current generation is : 17409 and best solution fitness is : 7200.581968018995
 current generation is : 17410 and best solution fitness is : 7200.581968018995
 current generation is : 17411 and best solution fitness is : 7200.581968018995
 current generation is : 17412 and best solution fitness is : 7200.581968018995
 current generation is : 17413 and best solution fitness is : 7200.581968018995
 current generation is : 17414 and best solution fitness is : 7200.581968018995
 current generation is : 17415 and best solution fitness is : 7200.581968018995
 current generation is : 17416 and best solution fitness is : 7200.581968018995
 current generation is : 17417 and best solution fitness is : 7200.581968018995
 current generation is : 17418 and best solution fitness is : 7200.581968018995
 current generation is : 17419 and best solution fitness is : 7200.581968018995
 current generation is : 17420 and best solution fitness is : 7200.581968018995
 current generation is : 17421 and best solution fitness is : 7200.581968018995
 current generation is : 17422 and best solution fitness is : 7200.581968018995
